Site,Longitude,Latitude,Elevation (ft),Date,tmean_C
C03,-105.2946,40.1656,6266,6/4/2020,
C03,-105.2946,40.1656,6266,6/5/2020,
C03,-105.2946,40.1656,6266,6/6/2020,
C03,-105.2946,40.1656,6266,6/7/2020,
C03,-105.2946,40.1656,6266,6/8/2020,
C03,-105.2946,40.1656,6266,6/9/2020,
C03,-105.2946,40.1656,6266,6/10/2020,
C03,-105.2946,40.1656,6266,6/11/2020,
C03,-105.2946,40.1656,6266,6/12/2020,
C03,-105.2946,40.1656,6266,6/13/2020,
C03,-105.2946,40.1656,6266,6/14/2020,
C03,-105.2946,40.1656,6266,6/15/2020,
C03,-105.2946,40.1656,6266,6/16/2020,
C03,-105.2946,40.1656,6266,6/17/2020,
C03,-105.2946,40.1656,6266,6/18/2020,
C03,-105.2946,40.1656,6266,6/19/2020,
C03,-105.2946,40.1656,6266,6/20/2020,
C03,-105.2946,40.1656,6266,6/21/2020,
C03,-105.2946,40.1656,6266,6/22/2020,
C03,-105.2946,40.1656,6266,6/23/2020,
C03,-105.2946,40.1656,6266,6/24/2020,
C03,-105.2946,40.1656,6266,6/25/2020,
C03,-105.2946,40.1656,6266,6/26/2020,
C03,-105.2946,40.1656,6266,6/27/2020,
C03,-105.2946,40.1656,6266,6/28/2020,
C03,-105.2946,40.1656,6266,6/29/2020,
C03,-105.2946,40.1656,6266,6/30/2020,
C03,-105.2946,40.1656,6266,7/1/2020,
C03,-105.2946,40.1656,6266,7/2/2020,
C03,-105.2946,40.1656,6266,7/3/2020,
C03,-105.2946,40.1656,6266,7/4/2020,
C03,-105.2946,40.1656,6266,7/5/2020,
C03,-105.2946,40.1656,6266,7/6/2020,
C03,-105.2946,40.1656,6266,7/7/2020,
C03,-105.2946,40.1656,6266,7/8/2020,
C03,-105.2946,40.1656,6266,7/9/2020,
C03,-105.2946,40.1656,6266,7/10/2020,
C03,-105.2946,40.1656,6266,7/11/2020,
C03,-105.2946,40.1656,6266,7/12/2020,
C03,-105.2946,40.1656,6266,7/13/2020,
