Name,Longitude,Latitude,Elevation (m),Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
C03,-105.2946,40.1656,1910,2020-01,0,-3.3,2.5,8.3
C03,-105.2946,40.1656,1910,2020-02,42.2,-7.7,-1.1,5.5
C03,-105.2946,40.1656,1910,2020-03,52.98,-1.3,5.1,11.4
C03,-105.2946,40.1656,1910,2020-04,59.67,-1.1,6.3,13.7
C03,-105.2946,40.1656,1910,2020-05,42.83,6.1,13.5,20.8
C03,-105.2946,40.1656,1910,2020-06,41.04,12.1,19.9,27.7
C03,-105.2946,40.1656,1910,2020-07,30.96,15.4,22.9,30.4
C03,-105.2946,40.1656,1910,2020-08,19.84,15,23.2,31.3
C03,-105.2946,40.1656,1910,2020-09,25.68,9.1,16.8,24.5
C03,-105.2946,40.1656,1910,2020-10,17.93,2.1,9.7,17.2
C03,-105.2946,40.1656,1910,2020-11,12.78,0.4,7.1,13.8
C03,-105.2946,40.1656,1910,2020-12,12.35,-3.7,2.2,8.2
C05,-105.4131,40.0717,2519,2020-01,3.82,-6.7,-1.9,2.9
C05,-105.4131,40.0717,2519,2020-02,55.24,-10.9,-5,0.9
C05,-105.4131,40.0717,2519,2020-03,70.92,-4.5,1.3,7.1
C05,-105.4131,40.0717,2519,2020-04,78.76,-4,2.6,9.2
C05,-105.4131,40.0717,2519,2020-05,39.55,2.3,9.5,16.7
C05,-105.4131,40.0717,2519,2020-06,45.02,7,14.8,22.7
C05,-105.4131,40.0717,2519,2020-07,24.35,10.5,18.2,25.9
C05,-105.4131,40.0717,2519,2020-08,29.14,10.3,18.6,26.9
C05,-105.4131,40.0717,2519,2020-09,29.2,4.9,12.6,20.4
C05,-105.4131,40.0717,2519,2020-10,20.29,-1.1,6.7,14.4
C05,-105.4131,40.0717,2519,2020-11,20.62,-2.9,3.2,9.4
C05,-105.4131,40.0717,2519,2020-12,16.19,-7.7,-2.1,3.5
C11,-105.3091,39.9709,2143,2020-01,0.51,-4.3,1.1,6.4
C11,-105.3091,39.9709,2143,2020-02,54.29,-9,-2.4,4.1
C11,-105.3091,39.9709,2143,2020-03,76.26,-2.3,3.8,10
C11,-105.3091,39.9709,2143,2020-04,62.23,-2.2,5.1,12.4
C11,-105.3091,39.9709,2143,2020-05,55.41,4.8,12.1,19.4
C11,-105.3091,39.9709,2143,2020-06,56.16,9.6,17.8,26
C11,-105.3091,39.9709,2143,2020-07,17.13,13.3,21,28.7
C11,-105.3091,39.9709,2143,2020-08,24.54,12.6,21.1,29.6
C11,-105.3091,39.9709,2143,2020-09,29.16,7.4,15.3,23.2
C11,-105.3091,39.9709,2143,2020-10,17.94,0.8,8.7,16.6
C11,-105.3091,39.9709,2143,2020-11,28.01,-0.9,5.7,12.4
C11,-105.3091,39.9709,2143,2020-12,14.63,-5,0.8,6.6
C21,-105.3122,39.9616,2143,2020-01,0.51,-4.3,1.1,6.4
C21,-105.3122,39.9616,2143,2020-02,54.29,-9,-2.4,4.1
C21,-105.3122,39.9616,2143,2020-03,76.26,-2.3,3.8,10
C21,-105.3122,39.9616,2143,2020-04,62.23,-2.2,5.1,12.4
C21,-105.3122,39.9616,2143,2020-05,55.41,4.8,12.1,19.4
C21,-105.3122,39.9616,2143,2020-06,56.16,9.6,17.8,26
C21,-105.3122,39.9616,2143,2020-07,17.13,13.3,21,28.7
C21,-105.3122,39.9616,2143,2020-08,24.54,12.6,21.1,29.6
C21,-105.3122,39.9616,2143,2020-09,29.16,7.4,15.3,23.2
C21,-105.3122,39.9616,2143,2020-10,17.94,0.8,8.7,16.6
C21,-105.3122,39.9616,2143,2020-11,28.01,-0.9,5.7,12.4
C21,-105.3122,39.9616,2143,2020-12,14.63,-5,0.8,6.6
